n,k,ab,ab_sd,d,d_shift,d_sd,d_trend,n0,max_d,d_interest,k_1,k_2,k_3,k_4,k_5
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,255.0,100.0,80.0,80.3147980196,81.2608716735,80.4992445621,81.8896769154,81.3805209171
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,260.0,100.0,80.0,81.0759975361,80.8616915029,80.3320404334,81.0989646166,80.079542316
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,265.0,100.0,80.0,81.1210855292,80.9453735056,81.5302213692,80.4880876943,80.3187842891
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,270.0,100.0,80.0,80.2923663016,80.3493801874,80.5867822988,80.1451352548,80.4596318743
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,275.0,100.0,80.0,79.7303338046,81.4937166951,80.0286724017,79.9238453811,80.7184926302
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,280.0,100.0,80.0,79.2549184216,80.0509891994,78.8096792341,79.6862931001,80.7158452866
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,285.0,100.0,80.0,79.0388365719,78.9603182741,79.2890674335,78.7820570095,80.6032496391
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,290.0,100.0,80.0,78.9616415956,79.116977216,79.0926082294,79.1376518642,78.6949543493
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,240.0,100.0,64.0,80.1589706278,80.206034849,79.578403405,79.8611791277,80.1086514618
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,245.0,100.0,64.0,79.8547731772,79.0544234341,79.0357753901,79.3107710701,79.8373796483
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,250.0,100.0,64.0,80.1209946541,78.6706675012,78.7226418567,79.5081179853,79.1741946329
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,255.0,100.0,64.0,79.1284658266,78.1913112995,78.2997420926,78.5093828574,78.4052700786
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,260.0,100.0,64.0,78.511576462,78.7701087226,78.2537195668,78.3321924088,78.5400657494
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,265.0,100.0,64.0,78.4430047298,78.2471102531,78.227682229,79.0417600677,78.6076264353
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,270.0,100.0,64.0,77.4738490425,78.6728908851,77.7518482482,77.6089321073,77.3133271531
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,275.0,100.0,64.0,77.7198188866,77.8972991859,77.9584622485,78.1330010139,77.6432353703
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,280.0,100.0,64.0,77.4091901803,76.7001532701,76.6356690242,77.4721973952,76.2845216994
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,285.0,100.0,64.0,77.4993548811,76.2168210032,75.9136220202,76.455848849,76.9171552194
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,290.0,100.0,64.0,77.3675708097,77.0876603958,76.375165878,76.628805657,77.0698072972
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,240.0,100.0,66.0,84.8799596359,85.0687706656,85.3795039342,85.0556401507,84.6185081327
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,245.0,100.0,66.0,84.3024357844,84.6278185397,85.3131120009,84.234096193,85.3189599066
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,250.0,100.0,66.0,84.7141549517,84.4728673078,84.2994802124,84.8196172333,84.2624181326
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,255.0,100.0,66.0,84.466172315,84.6678974578,83.4912710821,83.9630375533,84.0176089053
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,260.0,100.0,66.0,83.8863312208,83.8560754079,83.5731539625,83.6138002756,83.0007553282
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,265.0,100.0,66.0,83.7720253307,83.2736451756,83.8271039445,84.2432019161,83.8274885847
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,270.0,100.0,66.0,83.0121055028,83.3984378838,83.4927704293,83.2058822123,82.3367877367
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,275.0,100.0,66.0,83.0868539543,83.0469051122,83.8906689004,83.3390815855,83.2201401533
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,280.0,100.0,66.0,82.8248436191,82.7413464069,82.8539211998,83.1442403702,83.0078862231
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,285.0,100.0,66.0,82.6846813087,82.4724176882,82.0321312134,81.8843369447,82.4269376718
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,290.0,100.0,66.0,81.9735585987,81.6062320621,81.9059433965,82.131201825,82.6605198576
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,240.0,100.0,68.0,84.3996922441,84.2818927839,84.568850787,84.8569656923,85.0761908432
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,245.0,100.0,68.0,84.7583495726,84.4376633686,84.989646872,84.3558064613,84.8831541087
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,250.0,100.0,68.0,84.4787926085,84.7954868637,84.2877086335,84.6668241668,84.3321053705
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,255.0,100.0,68.0,84.5096099369,83.507532852,83.9021601526,83.7968630348,83.7194603363
