n,k,ab,ab_sd,d,d_shift,d_sd,d_trend,n0,max_d,d_interest,k_1,k_2,k_3,k_4,k_5
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,480.0,100.0,80.0,93.3665890739,93.0894701136,92.6982338474,93.5964787172,93.320096053
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,440.0,100.0,70.0,94.9516547396,94.8727486277,95.4788778288,95.0638533031,95.0123383432
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,450.0,100.0,70.0,95.0352873587,94.9896460008,95.1401471105,95.1342202505,95.1742013681
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,460.0,100.0,70.0,95.0287941677,94.9288264062,94.7338026987,94.7543085256,95.1850602046
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,470.0,100.0,70.0,95.1327799575,95.0132637982,94.8182255836,94.924882252,95.172708352
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,480.0,100.0,70.0,95.0388513936,94.6303244729,94.7696940418,94.8402382027,94.6694855002
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,440.0,100.0,72.0,96.213871007,96.3401000417,96.5328729185,96.1662060484,96.1828330066
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,450.0,100.0,72.0,96.2036424539,96.3289167446,96.302401387,96.0380004513,96.3420309514
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,460.0,100.0,72.0,96.0613863002,96.1066105299,96.2914626815,96.1447512114,96.3724169191
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,470.0,100.0,72.0,96.1004620284,96.2186506553,96.0945638325,95.7592284095,95.9699496149
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,480.0,100.0,72.0,96.0405165929,96.0643214141,95.9806757384,95.9617842707,95.9474335534
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,440.0,100.0,74.0,97.489133916,97.3125607045,97.0711691028,97.2241731633,97.2909575692
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,450.0,100.0,74.0,97.1734051134,97.0819126283,97.4037324327,97.2758361756,97.1729338832
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,460.0,100.0,74.0,97.2296452327,97.1111873515,97.0186168322,97.0512355285,97.0176577326
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,470.0,100.0,74.0,97.1177566269,97.0304099256,97.1652257701,97.2776990807,96.9806959771
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,480.0,100.0,74.0,97.1398730169,96.924630796,96.9204395588,96.9571688487,97.1545446026
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,440.0,100.0,76.0,98.0570585591,97.9003952093,97.8688832391,97.8231361984,97.8379616491
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,450.0,100.0,76.0,98.0171155413,97.899976009,97.8135530661,97.67941366,98.076374561
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,460.0,100.0,76.0,97.748760855,97.6971138037,97.7789167435,97.8885194717,97.8287396662
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,470.0,100.0,76.0,97.8059973647,97.7336532196,97.7814757114,97.9499684091,97.8646643635
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,480.0,100.0,76.0,97.8203634036,97.8842866313,97.7474554189,97.5828352616,97.6565094895
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,440.0,100.0,78.0,98.5352079879,98.5279001371,98.41039164,98.4376059081,98.3672822613
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,450.0,100.0,78.0,98.3387030205,98.4406707894,98.398732177,98.4880778117,98.3911488187
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,460.0,100.0,78.0,98.4505064333,98.2104011066,98.4429878469,98.492350432,98.4754044873
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,470.0,100.0,78.0,98.4229451152,98.3939276579,98.2937558915,98.2129573676,98.3599975891
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,480.0,100.0,78.0,98.3988009143,98.2598653717,98.1863583789,98.3382896628,98.3794705539
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,440.0,100.0,80.0,98.8153197361,98.8548670611,98.8086994628,98.8123984348,98.7956633963
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,450.0,100.0,80.0,98.8366324225,98.7808482273,98.7448310099,98.8196354139,98.7751549172
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,460.0,100.0,80.0,98.7582801132,98.8587999608,98.7787348126,98.8446592193,98.7586891152
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,470.0,100.0,80.0,98.7947983586,98.6935289353,98.6623800384,98.7463305211,98.7439828462
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,480.0,100.0,80.0,98.7320197468,98.7245892958,98.7392699484,98.7416047965,98.81408294
80.0,5.0,2.0,0.2,2.0,-1.5,0.6,0.5,440.0,100.0,70.0,41.692447596,42.0643747063,39.8455476788,40.3790072066,39.8469285114
80.0,5.0,2.0,0.2,2.0,-1.5,0.6,0.5,450.0,100.0,70.0,38.2273017896,39.3601636133,39.126231785,39.8041593763,38.5838381075
80.0,5.0,2.0,0.2,2.0,-1.5,0.6,0.5,460.0,100.0,70.0,38.5183976639,38.4168567616,36.7345157602,40.5666466978,40.095188892
