n,k,ab,ab_sd,d,d_shift,d_sd,d_trend,n0,max_d,d_interest,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,170.0,100.0,80.0,62.4574401858,63.1283999844,62.849164519,62.176353577,63.1633822524,62.0657184486,62.6775560128,61.5762706068,63.1659815407,62.6344146169
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,175.0,100.0,80.0,61.1586537849,60.368802144,61.5684105963,61.2968781338,61.6431546439,61.8331129492,61.5022338922,61.2687474502,61.1325603002,62.415714565
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,145.0,100.0,64.0,68.3639070297,68.2420019791,68.3093744403,68.1109108422,68.0305320915,67.7456264928,67.1262319731,68.2752003843,68.8115801426,68.020755485
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,150.0,100.0,64.0,67.5249557486,68.0169651155,67.5743172321,67.6414849818,67.6034102766,67.2343879092,68.0961223763,66.9282784149,67.6728738478,67.6598778008
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,155.0,100.0,64.0,65.9050695002,66.8338835807,66.462294403,65.3953517534,66.4406105425,66.8483636469,66.1890201899,66.4304360197,66.4430499375,66.5340777056
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,160.0,100.0,64.0,65.7612952588,66.0183723403,65.6746055912,66.6354741512,65.032444951,66.080268167,66.1692855883,65.0297433937,65.3876101899,66.6051594227
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,165.0,100.0,64.0,64.0254752713,64.9968242406,65.0568469798,64.8718189067,65.2564562812,65.5724931313,64.5991232564,64.7889431421,64.406284045,64.9137732295
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,170.0,100.0,64.0,63.6054021657,65.0340585575,64.6170558008,64.0095455784,64.2435319922,64.2388049329,64.0851609649,64.4525179205,63.9616064021,63.8887160996
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,175.0,100.0,64.0,62.8416286739,63.6361361843,63.4416113143,64.7495510119,63.8843064259,62.9214768864,63.523348341,63.1222087647,63.6519006375,63.8090003642
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,145.0,100.0,66.0,72.4544925439,73.1599625848,72.151244392,72.5919270874,72.6003143991,72.2666986582,72.2249656656,72.9084242987,72.3255228442,72.1796565863
