n,k,ab,ab_sd,d,d_shift,d_sd,d_trend,n0,max_d,d_interest,k_1,k_2,k_3,k_4,k_5
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,180.0,100.0,70.0,37.775872231,39.5569230746,38.175217234,38.3936649207,40.1844545848
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,180.0,100.0,70.0,36.9164764371,36.3612454819,37.6765720715,36.0783748882,36.670543559
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,150.0,100.0,72.0,49.2622378167,49.5530447219,48.8067801551,49.7380075307,49.4112001776
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,150.0,100.0,72.0,45.6453567375,46.4754879194,44.5894193406,44.8105510549,45.3439272614
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,155.0,100.0,72.0,47.0355474116,47.9864509352,48.4430110493,46.9265759148,48.6557578126
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,155.0,100.0,72.0,41.8675156125,43.2839872052,43.273518174,43.0733444782,42.8367239784
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,160.0,100.0,72.0,46.3883249708,47.3035381451,47.643114116,46.2009751756,46.7417125452
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,160.0,100.0,72.0,42.7780964435,43.7674780333,43.776825299,44.473192118,41.3778309678
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,165.0,100.0,72.0,45.7198514552,46.8257230136,45.9949806618,46.2588470066,45.3777522104
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,165.0,100.0,72.0,41.8646803789,43.0948373304,41.2298945092,44.5943689487,42.9344162036
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,170.0,100.0,72.0,45.3029088592,43.9558966517,46.0781539694,44.5933337945,44.3013517875
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,170.0,100.0,72.0,41.4218699711,40.837349868,41.7925632507,40.4871304251,41.9390010039
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,175.0,100.0,72.0,45.4437351459,44.8528786343,44.0591348955,44.117407252,45.1360308325
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,175.0,100.0,72.0,39.81530679,40.7960483925,40.7040322068,40.9305170732,39.4220847001
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,180.0,100.0,72.0,43.5211323479,42.6724553406,43.6916795637,42.3490039335,43.252697458
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,180.0,100.0,72.0,39.4283383256,39.694039304,39.3804409511,40.2439099828,41.03275399
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,150.0,100.0,74.0,53.3830734111,54.0140461002,53.7025200288,53.2228578864,53.0453066795
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,150.0,100.0,74.0,48.564990835,47.4484286461,49.1430787392,48.5106729014,49.1618598209
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,155.0,100.0,74.0,51.9820354678,53.0067714683,53.8296672191,53.0268186873,53.248760318
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,155.0,100.0,74.0,46.6350596421,47.2493117409,47.1648278958,46.9174352231,47.0021498826
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,160.0,100.0,74.0,51.3718498907,52.0497588854,51.8441399515,51.3829325001,51.8333934062
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,160.0,100.0,74.0,47.5436302028,46.7044709004,47.0514840073,45.7584309349,46.3416667124
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,165.0,100.0,74.0,50.5092086335,51.006305827,50.8203443307,50.5512120351,51.0003622211
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,165.0,100.0,74.0,46.075815883,44.8800199644,44.9174596588,46.2706620338,45.3988532443
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,170.0,100.0,74.0,49.3253854086,50.013090115,49.7290091279,49.1448203526,49.5208800302
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,170.0,100.0,74.0,45.5522663274,45.1612441489,45.5003032879,44.8597598808,45.1455162941
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,175.0,100.0,74.0,48.6436933353,48.4085892823,47.3744851266,49.449000267,48.9800201529
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,175.0,100.0,74.0,44.0903295989,45.0353394144,45.8254746908,44.0405008008,43.6985707898
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,180.0,100.0,74.0,47.7659494441,48.5751925222,49.3664250496,48.9491633471,48.5652530459
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,180.0,100.0,74.0,43.6165830978,43.4082297553,43.5132977487,44.5024240217,44.2181114034
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,150.0,100.0,76.0,57.2807334871,57.7402410644,57.6724136603,57.9167433751,57.4449433804
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,150.0,100.0,76.0,51.0661665714,51.73003746,50.54302526,52.7888610181,51.3647111713
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,155.0,100.0,76.0,57.1661438859,56.3534155173,58.6778856804,56.593242402,56.8719981034
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,155.0,100.0,76.0,50.0236635118,49.4102804071,51.6606565128,50.4517595205,51.1304168061
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,160.0,100.0,76.0,55.6333741781,55.4746721982,55.3490575177,55.5027973568,56.146651918
