n,k,ab,ab_sd,d,d_shift,d_sd,d_trend,n0,max_d,d_interest,k_1,k_2,k_3,k_4,k_5
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,325.0,100.0,76.0,33.5482610294,35.2583071918,34.4595452821,33.6404016225,36.4702312535
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,330.0,100.0,76.0,35.5064278208,36.4444538754,34.506060716,32.6128873493,33.9071142622
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,270.0,100.0,78.0,44.605755328,46.757202605,44.333922928,44.6889777014,43.1832132766
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,275.0,100.0,78.0,45.3100217378,43.8457330137,45.9241624572,44.6936832824,43.0373899762
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,280.0,100.0,78.0,44.8566969012,43.6779528947,44.4861397456,44.3388834595,43.824337627
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,285.0,100.0,78.0,42.9331345703,42.9388534699,42.0882010496,42.4638196867,43.1911647196
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,290.0,100.0,78.0,42.7708851079,42.2284438974,43.0148822042,42.9764828796,41.6220373792
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,295.0,100.0,78.0,41.3637160307,41.6568203556,43.5921939854,41.4644625886,41.980151663
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,300.0,100.0,78.0,39.9848002053,44.0744668534,41.1369252811,38.5895298762,39.7709019366
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,305.0,100.0,78.0,41.0668378114,40.6010895947,40.1922830539,41.8006758166,41.8629330444
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,310.0,100.0,78.0,38.6982906453,39.5900184531,40.9195129921,40.0384685308,39.9868480075
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,315.0,100.0,78.0,40.1706493742,40.1145608024,39.9999961267,38.7541560621,39.7814549217
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,320.0,100.0,78.0,41.571834248,41.1992857986,41.2993637809,38.7700239477,40.5486629986
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,325.0,100.0,78.0,41.1690786575,40.1280013884,39.8227590154,39.5274614344,40.8260143788
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,330.0,100.0,78.0,37.0043342398,40.4609376972,37.3561062579,37.6726720976,37.6275391738
