n,k,alpha/beta,alpha/beta SD,d,d_shift,d_sd,n0,max_d,dose_of_interest,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCP_mean,TCP_sd
100,20,2,2,2,-5,0,200,100,78,75.86040551,76.45495021,76.45495021,76.80076528,76.80076528,79.94410989,79.94410989,74.9394466,74.9394466,75.93615304,75.93615304,77.75038332,77.75038332,77.57873595,77.57873595,74.18242979,74.18242979,75.06292678,75.06292678,78.31883847,78.31883847,77.23984293,77.23984293,80.19082436,80.19082436,76.93513442,76.93513442,76.64450711,76.64450711,76.36573497,76.36573497,80.2406097,80.2406097,75.72182703,75.72182703,78.87285399,78.87285399,80.06117012,80.06117012,78.57806252,77.3230239,1.793090606
100,20,2,2,2,-5,0,200,100,80,78.57806252,77.23803029,77.23803029,79.61143957,79.61143957,85.74455131,85.74455131,78.52713331,78.52713331,76.3665661,76.3665661,85.58651618,85.58651618,78.31506574,78.31506574,78.68618963,78.68618963,80.89057249,80.89057249,81.09292259,81.09292259,79.94197383,79.94197383,77.71552832,77.71552832,80.48330056,80.48330056,83.65519909,83.65519909,76.43390661,76.43390661,80.87877103,80.87877103,81.79709283,81.79709283,83.11196391,83.11196391,78.68230995,78.68230995,82.82441645,80.27301364,2.686791048
100,20,2.5,2,2,-5,0,200,100,64,82.82441645,73.12460358,73.12460358,66.67663084,66.67663084,67.91130459,67.91130459,71.03616568,71.03616568,69.59123043,69.59123043,74.66836433,74.66836433,72.24871499,72.24871499,68.51897357,68.51897357,67.56089202,67.56089202,73.21798962,73.21798962,73.496742,73.496742,72.66079432,72.66079432,72.90446202,72.90446202,78.80614952,78.80614952,65.75060295,65.75060295,69.92311178,69.92311178,69.76127597,69.76127597,69.15042024,69.15042024,76.80038264,76.80038264,68.6316174,71.4768414,3.752906333
100,20,2.5,2,2,-5,0,200,100,66,68.6316174,75.51268222,75.51268222,71.87661996,71.87661996,75.34591147,75.34591147,72.50240238,72.50240238,74.79585335,74.79585335,73.09177746,73.09177746,71.50201876,71.50201876,70.93561518,70.93561518,76.41275794,76.41275794,78.08343693,78.08343693,74.24905179,74.24905179,75.33845563,75.33845563,77.47383946,77.47383946,71.50901725,71.50901725,74.17156431,74.17156431,69.47588108,69.47588108,78.9049129,78.9049129,75.48124349,75.48124349,74.20352261,74.20352261,78.10764699,74.21180982,2.639141775
100,20,2.5,2,2,-5,0,200,100,68,78.10764699,70.88658462,70.88658462,76.64124272,76.64124272,81.38949159,81.38949159,74.52880412,74.52880412,81.0304202,81.0304202,78.12986816,78.12986816,79.18651511,79.18651511,76.36014262,76.36014262,78.46943832,78.46943832,81.7975651,81.7975651,76.97789814,76.97789814,73.27405612,73.27405612,73.82244132,73.82244132,77.69660695,77.69660695,75.62994757,75.62994757,78.6475402,78.6475402,73.35307946,73.35307946,82.72760261,82.72760261,77.52071997,77.52071997,79.88252971,77.35325266,3.069768272
100,20,2.5,2,2,-5,0,200,100,70,79.88252971,78.51348887,78.51348887,78.15897701,78.15897701,80.22751783,80.22751783,81.48480917,81.48480917,81.05551528,81.05551528,79.73272059,79.73272059,78.54530472,78.54530472,79.982827,79.982827,78.540034,78.540034,80.64724173,80.64724173,80.22761765,80.22761765,80.80404497,80.80404497,81.57124847,81.57124847,81.97016663,81.97016663,80.30618064,80.30618064,82.56808927,82.56808927,81.49340394,81.49340394,78.88032542,78.88032542,81.19262376,81.19262376,79.66635987,80.28382909,1.241029253
100,20,2.5,2,2,-5,0,200,100,72,79.66635987,79.03813672,79.03813672,80.84872945,80.84872945,81.73977546,81.73977546,80.66929567,80.66929567,82.82884185,82.82884185,80.35674949,80.35674949,85.36263758,85.36263758,76.47664091,76.47664091,81.74044013,81.74044013,78.8793687,78.8793687,82.16925394,82.16925394,77.86740146,77.86740146,83.08830197,83.08830197,80.75684802,80.75684802,80.78981376,80.78981376,76.51996786,76.51996786,81.69482652,81.69482652,83.16422577,83.16422577,83.23257251,83.23257251,80.26118006,80.85937989,2.230007565
100,20,2.5,2,2,-5,0,200,100,74,80.26118006,87.00010086,87.00010086,85.68475604,85.68475604,83.75425384,83.75425384,83.6378755,83.6378755,85.25392846,85.25392846,81.78673172,81.78673172,83.26431612,83.26431612,84.5542411,84.5542411,86.07872646,86.07872646,84.90845155,84.90845155,87.21617953,87.21617953,88.65627865,88.65627865,81.74742949,81.74742949,84.76428192,84.76428192,84.02308638,84.02308638,81.2163777,81.2163777,85.66425321,85.66425321,82.82850374,82.82850374,80.30127558,80.30127558,83.22791532,84.20427978,2.170297233
100,20,2.5,2,2,-5,0,200,100,76,83.22791532,85.60629014,85.60629014,85.29032991,85.29032991,88.46530628,88.46530628,84.85114633,84.85114633,86.22184587,86.22184587,84.79961106,84.79961106,85.0683113,85.0683113,85.89284869,85.89284869,86.04046422,86.04046422,90.24081624,90.24081624,83.91012163,83.91012163,83.85968748,83.85968748,90.61064664,90.61064664,86.56119557,86.56119557,87.1894018,87.1894018,84.53793739,84.53793739,87.55683728,87.55683728,88.25934075,88.25934075,85.60458602,85.60458602,83.89667261,86.20645093,1.941293436
100,20,2.5,2,2,-5,0,200,100,78,83.89667261,84.38207365,84.38207365,88.47428763,88.47428763,87.07963467,87.07963467,90.45561721,90.45561721,86.99504234,86.99504234,88.71086059,88.71086059,89.44568201,89.44568201,90.23437963,90.23437963,88.3027309,88.3027309,89.71709356,89.71709356,88.30055845,88.30055845,87.06221966,87.06221966,88.48739656,88.48739656,85.04053863,85.04053863,88.07339755,88.07339755,85.09735843,85.09735843,85.72842929,85.72842929,88.7250311,88.7250311,90.08766438,90.08766438,85.52853489,87.75563,1.878138911
