n,k,ab,ab_sd,d,d_shift,d_sd,d_trend,n0,max_d,d_interest,k_1,k_2,k_3,k_4,k_5
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,470.0,100.0,78.0,91.6294514984,91.7320618139,90.9485921499,91.6590827352,91.1190735816
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,480.0,100.0,78.0,90.9662105166,91.1008268313,90.8479280894,91.323177587,91.1313599825
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,430.0,100.0,80.0,93.9732204246,94.0945044969,93.6534689828,94.1223836745,94.1595586162
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,440.0,100.0,80.0,93.7311027952,93.8387453633,93.5358547187,93.7363704703,93.7944794635
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,450.0,100.0,80.0,93.5421275768,93.5175861631,93.6188667259,93.8724126903,93.4459292315
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,460.0,100.0,80.0,93.6197993101,93.4007847577,93.3436759455,93.8868842857,93.1358167793
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,470.0,100.0,80.0,93.0854608196,93.1286008973,93.4068954607,93.2836481865,92.9920931911
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,480.0,100.0,80.0,93.0158580884,93.2854432661,93.3113899408,92.8233679749,93.1410112937
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,430.0,100.0,70.0,94.966278087,95.1254438671,95.3345431435,95.2869246773,95.202128764
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,440.0,100.0,70.0,94.9844409268,95.0808799424,95.1387772473,94.8696265359,94.9279309905
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,450.0,100.0,70.0,95.2471802272,95.0087185074,95.0229446945,95.0310821009,94.8575657576
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,460.0,100.0,70.0,94.9307956029,94.8942480091,94.9353210285,95.114294264,94.6031893514
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,470.0,100.0,70.0,94.6546852773,94.6951287611,94.7244115742,95.1311375773,95.0142729299
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,480.0,100.0,70.0,94.620877834,94.7064456334,94.689606784,94.7081571845,94.6309319834
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,430.0,100.0,72.0,96.0802245227,96.3179944553,96.3565079347,96.3554833827,96.3632738395
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,440.0,100.0,72.0,96.3133926787,96.2438494303,96.1325804241,96.4766829725,96.249272068
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,450.0,100.0,72.0,96.4741124892,96.2846528029,96.3038543016,96.4635762567,96.3935779607
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,460.0,100.0,72.0,96.1157113163,96.24991431,96.060612922,96.4109903971,96.0721427444
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,470.0,100.0,72.0,95.9605586634,96.0271195674,95.9557116361,95.9781256155,96.1513481512
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,480.0,100.0,72.0,96.1207283472,96.0632182863,95.8547636859,95.8204075129,96.0760711011
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,430.0,100.0,74.0,97.2167628843,97.2676526244,97.352549032,97.2148021371,97.4386605151
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,440.0,100.0,74.0,97.2355817958,97.2319592839,97.3410952274,97.2138380389,97.3606073827
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,450.0,100.0,74.0,97.1620545227,97.0436817913,97.0677253467,97.3830150076,97.2271344379
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,460.0,100.0,74.0,97.0279730247,97.2145981475,97.2244733846,97.1090955056,96.9738090054
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,470.0,100.0,74.0,97.0445058214,97.2727195147,97.1112868262,97.0385956715,96.776841161
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,480.0,100.0,74.0,96.8173733345,97.0343175129,96.9758229506,96.9099271962,97.1586530377
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,430.0,100.0,76.0,98.1769696958,97.9034425098,97.9451236696,97.9193465851,98.0203433694
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,440.0,100.0,76.0,97.809906509,97.8063965085,97.840836288,97.8069949953,97.8450133979
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,450.0,100.0,76.0,97.9707647978,97.8049706208,98.0537938267,97.8309087873,97.8716315911
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,460.0,100.0,76.0,97.906071461,97.8923317818,97.7948073957,97.8087249467,97.9449003851
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,470.0,100.0,76.0,97.78967166,97.7005962248,97.9997853835,97.7144074954,97.8226808181
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,480.0,100.0,76.0,97.7696008916,97.8203628233,97.600145391,97.7471239445,97.7741590458
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,430.0,100.0,78.0,98.5585641601,98.4998357446,98.535802237,98.5114473114,98.470476009
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,440.0,100.0,78.0,98.3735492635,98.4943462966,98.4761421122,98.5452369341,98.4437432921
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,450.0,100.0,78.0,98.3388423372,98.3888264161,98.4054497717,98.393149145,98.3723011504
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,460.0,100.0,78.0,98.3246325914,98.441520379,98.265949174,98.4346749924,98.3096681516
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,470.0,100.0,78.0,98.4223421327,98.2837929118,98.4232812198,98.3580898743,98.3815801424
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,480.0,100.0,78.0,98.3259371842,98.2630757741,98.327505245,98.3484454533,98.4477733896
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,430.0,100.0,80.0,98.8240243893,98.8500786437,98.7986078445,98.8348978043,98.826629091
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,440.0,100.0,80.0,98.8220075049,98.7714407043,98.8653648463,98.8145057901,98.8708457435
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,450.0,100.0,80.0,98.8514919947,98.8473265906,98.8054544103,98.8111076934,98.8347638297
80.0,5.0,4.0,0.2,2.0,-2.0,0.6,0.5,460.0,100.0,80.0,98.8568829736,98.7637078706,98.851809706,98.8298303151,98.8060576305
